Sales,Discount,Quantity,Shipping_Cost,Category,Market,Segment,Ship_Mode,Region,Month_Num,Quarter,Profit_Margin,Profit,Scenario
366,0.0,3,0.0,Office Supplies,Africa,Consumer,Standard Class,Central,7,3,14.028273440352235,51.34,normal
220,0.0,2,0.0,Technology,APAC,Corporate,Standard Class,North,12,4,18.63563753648665,41.0,normal
413,0.2,4,0.24,Office Supplies,LATAM,Consumer,Standard Class,Southeast Asia,11,4,6.03113793984979,24.91,normal
833,0.1,7,36.77,Office Supplies,APAC,Consumer,Standard Class,South,4,2,7.662727620609454,63.83,normal
204,0.0,1,60.47,Furniture,LATAM,Consumer,Same Day,North,3,1,9.354117707198478,19.08,normal
204,0.47,4,0.0,Office Supplies,EMEA,Consumer,Standard Class,Caribbean,10,4,-17.528144358008138,-35.76,normal
871,0.0,3,2.71,Furniture,LATAM,Consumer,Standard Class,Oceania,9,3,13.440190853712313,117.06,normal
455,0.0,5,0.0,Office Supplies,APAC,Corporate,Standard Class,East,11,4,19.14958354598803,87.13,normal
169,0.1,4,24.57,Office Supplies,LATAM,Corporate,Second Class,EMEA,10,4,12.798990803868866,21.63,normal
380,0.7,2,0.0,Furniture,Africa,Consumer,First Class,Southeast Asia,9,3,-27.870201755558288,-105.91,normal
170,0.1,3,59.21,Office Supplies,US,Consumer,Standard Class,Central,12,4,10.915629951802797,18.56,normal
169,0.4,2,0.0,Furniture,EU,Consumer,Standard Class,Central,8,3,-6.907128660871977,-11.67,normal
299,0.0,6,5.77,Office Supplies,APAC,Corporate,Standard Class,Central,3,1,15.996244384250431,47.83,normal
53,0.6,4,43.63,Furniture,Africa,Consumer,Standard Class,EMEA,11,4,-22.061610971927486,-11.69,normal
62,0.0,8,36.91,Office Supplies,EMEA,Consumer,Standard Class,East,5,2,14.037648414444003,8.7,normal
157,0.5,3,180.68,Office Supplies,LATAM,Corporate,Standard Class,South,11,4,-19.086130112564273,-29.97,normal
109,0.0,2,46.42,Technology,APAC,Consumer,Standard Class,Oceania,12,4,15.94845329850127,17.38,normal
316,0.6,1,0.0,Furniture,APAC,Consumer,Standard Class,West,10,4,-24.027477115603965,-75.93,normal
119,0.0,1,20.91,Furniture,APAC,Consumer,Standard Class,Africa,9,3,12.18235611750391,14.5,normal
79,0.2,1,0.0,Furniture,EU,Home Office,First Class,EMEA,8,3,5.778857564566179,4.57,normal
796,0.0,4,21.76,Furniture,Africa,Home Office,First Class,Africa,6,2,12.243831502773206,97.46,normal
205,0.1,5,0.0,Office Supplies,EU,Corporate,Standard Class,South,6,2,12.536530332076932,25.7,normal
260,0.0,1,78.82,Office Supplies,EMEA,Consumer,Standard Class,Central,9,3,13.694768275271052,35.61,normal
78,0.0,6,0.0,Office Supplies,EU,Corporate,Standard Class,Canada,10,4,14.064972342704298,10.97,normal
159,0.0,2,19.69,Office Supplies,US,Home Office,Standard Class,Central,10,4,11.012977088329656,17.51,normal
269,0.0,4,0.0,Office Supplies,US,Home Office,Second Class,Central,4,2,12.773015961370284,34.36,normal
98,0.7,7,126.01,Office Supplies,APAC,Consumer,Standard Class,North Asia,8,3,-25.419055825908742,-24.91,normal
332,0.0,6,7.97,Office Supplies,LATAM,Corporate,First Class,South,11,4,15.0226805411824,49.88,normal
152,0.45,3,131.38,Technology,US,Consumer,First Class,Oceania,8,3,-6.1711841403082985,-9.38,normal
195,0.0,1,73.02,Office Supplies,APAC,Consumer,Standard Class,South,8,3,15.543761845035151,30.31,normal
152,0.0,1,54.0,Office Supplies,LATAM,Corporate,Standard Class,EMEA,11,4,13.942638805086775,21.19,normal
1084,0.4,2,47.5,Office Supplies,EU,Consumer,Standard Class,South,9,3,-2.5551094086391224,-27.7,normal
243,0.2,3,48.94,Technology,Canada,Home Office,Standard Class,South,7,3,5.718289293860859,13.9,normal
105,0.0,1,0.0,Technology,EU,Consumer,Standard Class,EMEA,12,4,21.48900290911591,22.56,normal
475,0.0,3,10.4,Technology,EMEA,Consumer,Standard Class,West,4,2,16.796372380365966,79.78,normal
92,0.1,4,74.8,Office Supplies,EU,Home Office,First Class,North,12,4,11.1287984381507,10.24,normal
291,0.0,3,23.57,Office Supplies,US,Home Office,Standard Class,Central Asia,3,1,17.78404697745506,51.75,normal
51,0.37,2,0.0,Office Supplies,EU,Consumer,Standard Class,Central,1,1,-6.574524088273257,-3.35,normal
85,0.45,4,23.37,Office Supplies,EMEA,Consumer,Second Class,North,12,4,-19.063448768089806,-16.2,normal
288,0.2,4,124.02,Office Supplies,LATAM,Corporate,Second Class,Africa,5,2,3.0547573825683387,8.8,normal
445,0.0,1,97.82,Office Supplies,EU,Consumer,Standard Class,Central Asia,10,4,18.691380143279925,83.18,normal
282,0.1,7,22.82,Office Supplies,US,Home Office,First Class,Central,11,4,10.582442499083191,29.84,normal
224,0.0,3,80.89,Furniture,EU,Home Office,Standard Class,Africa,11,4,13.33751662568774,29.88,normal
193,0.0,4,5.38,Furniture,APAC,Consumer,Standard Class,East,12,4,6.833229198127443,13.19,normal
75,0.0,5,0.0,Office Supplies,APAC,Consumer,Standard Class,South,6,2,12.838634787974824,9.63,normal
138,0.0,4,0.0,Office Supplies,APAC,Consumer,Standard Class,North Asia,10,4,16.234072893454318,22.4,normal
170,0.7,6,115.92,Office Supplies,EMEA,Home Office,First Class,Central,3,1,-25.768850169639325,-43.81,normal
574,0.1,4,10.68,Office Supplies,LATAM,Consumer,Second Class,West,7,3,12.644000340398708,72.58,normal
324,0.4,2,12.43,Furniture,APAC,Consumer,First Class,Central Asia,11,4,-12.434600265438283,-40.29,normal
60,0.0,4,9.2,Office Supplies,US,Consumer,Standard Class,Oceania,6,2,16.21747226002144,9.73,normal
319,0.0,1,135.48,Technology,LATAM,Corporate,Standard Class,EMEA,9,3,18.049122725793882,57.58,normal
181,0.0,4,119.54,Office Supplies,EU,Consumer,Standard Class,Central,8,3,12.03917179049533,21.79,normal
143,0.25,3,153.5,Furniture,APAC,Consumer,Standard Class,Central Asia,9,3,-9.767373993284242,-13.97,normal
402,0.0,3,17.26,Office Supplies,Africa,Home Office,Second Class,North,12,4,16.29302907639023,65.5,normal
562,0.7,3,43.31,Technology,EMEA,Home Office,Second Class,Central,2,1,-23.478158374761566,-131.95,normal
519,0.2,1,0.0,Office Supplies,EMEA,Corporate,Standard Class,Oceania,9,3,1.1454748736994933,5.95,normal
125,0.0,2,111.0,Technology,LATAM,Consumer,Standard Class,North,11,4,13.142480830452406,16.43,normal
192,0.1,4,0.0,Office Supplies,US,Consumer,Standard Class,Central,8,3,10.889218543226214,20.91,normal
321,0.0,4,38.8,Office Supplies,APAC,Corporate,Standard Class,Central,2,1,14.202239777413343,45.59,normal
537,0.7,1,0.0,Furniture,APAC,Consumer,Standard Class,Central,9,3,-28.329375832895565,-152.13,normal
168,0.5,6,0.0,Furniture,APAC,Home Office,Standard Class,Africa,6,2,-12.407854408764724,-20.85,normal
212,0.0,2,0.0,Furniture,EU,Corporate,Standard Class,Africa,4,2,5.575707359040885,11.82,normal
101,0.0,6,0.0,Technology,EU,Consumer,Standard Class,North,11,4,15.901197573892908,16.06,normal
94,0.2,4,0.0,Furniture,EU,Home Office,Standard Class,Southeast Asia,8,3,-0.6281268399357398,-0.59,normal
472,0.17,2,0.0,Office Supplies,APAC,Home Office,Standard Class,East,12,4,9.16447852243995,43.26,normal
729,0.0,8,74.12,Office Supplies,EU,Consumer,Second Class,Africa,11,4,10.090790942380545,73.56,normal
232,0.2,1,0.0,Office Supplies,US,Corporate,Standard Class,Central,10,4,8.807583077041814,20.43,normal
550,0.2,6,39.01,Technology,EU,Consumer,Same Day,West,1,1,6.407567704698872,35.24,normal
329,0.1,6,96.16,Office Supplies,US,Consumer,Standard Class,EMEA,7,3,8.711998014798425,28.66,normal
147,0.0,2,0.0,Office Supplies,LATAM,Consumer,Standard Class,Africa,4,2,14.405820710343281,21.18,normal
329,0.1,7,0.0,Office Supplies,EMEA,Corporate,Standard Class,Oceania,12,4,7.691210903459913,25.3,normal
843,0.5,3,13.17,Furniture,EU,Home Office,Standard Class,EMEA,4,2,-14.855649722192535,-125.23,normal
239,0.0,4,93.97,Office Supplies,APAC,Consumer,First Class,North Asia,6,2,11.794437737752684,28.19,normal
861,0.0,4,37.5,Office Supplies,LATAM,Consumer,Standard Class,Central,8,3,16.03624254493156,138.07,normal
30,0.3,3,0.0,Office Supplies,US,Corporate,First Class,Oceania,5,2,-4.152544997120927,-1.25,normal
